CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,WebsiteClickRate,TimeSpentOnSite,SocialMediaEngagement,AdClickHistory,GeneratedReview,CustomerSentimentScore,PersonaTag,Churn,llm_sentiment
4efed90,Female,Denver,CO,Silver,12,753.6,Clothing,2023-10-20,0.065,15.2,Medium,Clicked,"Great experience, love this store!",0.91,Regular Buyer,0,5
d7f26e8,Male,Los Angeles,CA,Gold,28,2155.4,Electronics,2023-10-25,0.092,22.5,High,Sometimes,Very happy with my purchases.,0.95,Loyal,0,4
6b4a427,Other,Chicago,IL,Platinum,41,4510.1,Home Goods,2023-09-18,0.115,28.1,High,Clicked,Excellent service and products.,0.98,Loyal,0,5
68eec52,Male,Houston,TX,Bronze,2,85.7,Books,2023-08-01,0.041,8.9,Low,Not Clicked,"Had some issues, not fully satisfied.",0.52,Window Shopper,1,2
3a2af82,Female,Phoenix,AZ,Silver,18,1220.5,Beauty,2023-10-10,0.078,18.7,Medium,Clicked,Will definitely buy again.,0.88,Engaged,0,4
c36dd87,Male,Miami,FL,Gold,3,150.9,Sports,2023-05-15,0.025,5.1,Low,Not Clicked,"Okay, but nothing special.",0.4,Inactive,1,3
48f7d56,Female,Seattle,WA,Platinum,35,3800.0,Groceries,2023-10-26,0.105,25.9,High,Clicked,Reliable and user-friendly website.,0.93,Loyal,0,4
11d8f72,Other,Austin,TX,Bronze,1,25.0,Toys,2022-01-20,0.011,1.5,Low,Not Clicked,Didn't find what I was looking for.,0.15,One-Time Buyer,1,2
044f2c5,Male,Boston,MA,Silver,9,610.3,Clothing,2023-09-05,0.058,14.1,Medium,Sometimes,Very happy with my purchases.,0.85,Regular Buyer,0,4
fd58c21,Female,New York,NY,Bronze,5,280.6,Electronics,2022-08-10,0.032,7.8,Low,Not Clicked,"Product was alright, but delivery was slow.",0.35,Inactive,1,3
fded44d,Male,Denver,CO,Gold,22,1850.7,Home Goods,2023-10-22,0.089,20.3,High,Clicked,Excellent service and products.,0.97,Engaged,0,5
